record_id,annual_income_usd,house_age_years,number_of_rooms,number_of_bedrooms,area_population,house_price_usd,house_area_proxy_sqft,address
53,62279.79005,6.108449991,6.30611635,4.12,35263.65314,1054770.981,2207.14,
54,73078.20409,5.92390639,6.445456691,3.32,54915.96178,1415647.553,2255.91,
55,72942.70506,4.786222295,7.31988553,6.41,24377.90905,948788.2757,2561.96,
56,63819.62285,5.949839471,8.022469239,4.09,27825.57206,1159596.519,2807.86,
57,73265.44989,8.314761979,7.42559746,3.24,21030.96618,1547133.396,2598.96,
58,68488.13117,6.116111748,7.18252748,5.08,18267.95471,1186688.506,2513.88,
59,55193.85745,7.186120667,5.096917456,4.01,32537.81877,772111.9721,1783.92,
60,77434.68924,6.309271353,5.219754029,3.06,36252.34068,1172730.156,1826.91,
61,66158.88159,4.476429066,6.91174261,2.28,37098.74217,1111085.017,2419.11,
62,60502.90933,7.533380986,5.731824125,4.23,33579.63151,1022781.171,2006.14,
63,60910.89379,5.635466738,7.325973781,4.2,43347.804,1274474.546,2564.09,
64,73931.97852,6.394107667,4.580839921,4.32,36543.06728,1213530.85,1603.29,
65,59539.94845,6.018590243,7.007676166,5.43,58600.82715,1411730.477,2452.69,
66,56547.50719,5.435415183,6.515149877,3.13,37585.27458,858685.5659,2280.30,
67,65950.34702,5.476513158,6.717844306,3.28,40110.8476,1200961.821,2351.25,
68,74533.16208,6.67935313,5.919230725,4,49481.56581,1520234.229,2071.73,
69,66422.91905,7.12207185,7.078583745,6.36,31019.32482,1360908.32,2477.50,
70,74334.49485,5.419012564,6.261535284,4.12,41640.43566,1360920.53,2191.54,
71,63538.34616,4.764499308,7.168662411,3.27,43282.183,1146532.455,2509.03,
72,83953.10484,7.385134534,6.898846569,3.08,37283.35765,1789098.521,2414.60,
73,57279.06358,5.118108905,6.561520216,3.17,44023.79068,852099.464,2296.53,
74,56553.55025,5.691129213,7.021252354,3.15,29682.40986,746096.7289,2457.44,
75,75795.57598,5.786780024,7.327325343,6.25,33197.77774,1534479.907,2564.56,
76,70848.78866,5.28232502,6.766444664,3.27,40458.73587,1215608.531,2368.26,
77,59787.4045,5.653120316,6.594592279,3.43,32402.10755,941594.3284,2308.11,
78,64826.37189,4.010907337,8.290419813,4.38,60286.0431,1204598.037,2901.65,
79,65925.8538,7.605511954,7.070409541,3.28,34171.36007,1597655.258,2474.64,
80,64419.25264,6.954422126,8.516160048,6.16,39318.17075,1492011.496,2980.66,
81,58544.4603,8.562610576,7.276308629,4.28,30865.58695,1421216.504,2546.71,
82,68791.79169,4.725552228,6.704201604,4.11,48423.32244,1132522.901,2346.47,
83,82061.5652,4.182828228,5.963031884,4.1,36271.4085,1102821.438,2087.06,
84,80659.52544,5.436306202,7.100753432,6.24,52947.03636,1856211.35,2485.26,
85,66668.09352,6.184965339,7.863127437,3.35,47075.21223,1687998.933,2752.09,
86,64721.5645,5.677637527,6.971331701,4.48,36115.81636,1063423.007,2439.97,
87,65199.98994,6.445742898,6.937127028,3.2,28366.03543,1177289.886,2427.99,
88,74579.98953,4.639654131,5.521489299,3.07,42806.14664,1173474.379,1932.52,
89,76273.67033,7.879751801,4.500165348,3.39,46974.57879,1637259.999,1575.06,
90,67561.94206,5.251400747,7.658576339,4.04,35517.54187,1238938.291,2680.50,
91,48904.98327,4.844972531,5.44895603,3.38,32960.75307,201898.0866,1907.13,
92,72145.96721,6.39862599,8.258634923,6.06,28882.90085,1439506.102,2890.52,
93,70805.61068,4.443728924,5.809147306,3.3,29268.82674,585608.6326,2033.20,
94,65383.33792,7.512526779,6.640032004,3.46,35114.40246,1294685.159,2324.01,
95,95450.29309,6.595060685,6.850361008,3.33,39388.51552,2014851.344,2397.63,
96,73698.69636,6.372730932,6.578352074,4.33,51815.09642,1840236.006,2302.45,
97,66263.9105,6.374930066,6.736974131,4.41,49829.9515,1441421.913,2357.94,
98,75394.75958,6.933352468,7.834099801,4.48,22268.07531,1498640.551,2741.93,
99,65984.75064,6.512270085,6.31648002,2.38,21867.47694,954746.5764,2210.77,
100,66477.26279,6.982151725,6.038487979,2.37,32458.9867,1124635.932,2113.47,
101,69284.25964,5.347447091,7.17342566,3.45,40282.72428,1169944.248,2510.70,
102,70404.4961,5.544083726,6.001261362,2.02,37127.9255,1114430.953,2100.44,
103,74218.48902,8.069721867,6.506374302,4.37,46770.66097,1783534.839,2277.23,
104,63441.71465,6.471673727,7.064811136,3.22,48061.75267,1302933.248,2472.68,
105,57493.92457,6.893260157,6.734045416,4.41,47039.21532,1241483.612,2356.92,
106,81543.77732,5.503923196,5.897052836,2.14,9816.300885,954114.544,2063.97,
107,78633.97376,5.465393231,7.531143012,3.24,43728.80349,1555320.5,2635.90,
108,52202.85372,4.869306568,4.414380866,2.23,42165.81246,404976.3659,1545.03,
109,67980.38878,5.562938814,6.159705222,2.44,25909.0792,1073183.76,2155.90,
110,78568.44916,5.47573732,6.291600796,2.29,41016.64709,1422195.879,2202.06,
111,55472.65483,4.822147136,5.855972309,3.2,15353.95643,340605.2113,2049.59,
112,67579.23479,5.973219004,7.754357545,6.32,21762.94969,1170959.526,2714.03,
113,61456.1507,6.882954326,6.417572622,4.19,30821.41209,942838.1647,2246.15,
114,60815.39039,7.17012853,7.984335122,4.11,31233.64935,1401613.92,2794.52,
115,51217.18116,5.384841407,8.776160034,3.41,47089.47508,1175504.486,3071.66,
116,63027.67471,4.855968121,5.580905937,2.3,35991.72064,608794.2467,1953.32,
117,62484.8553,6.496651466,7.322709774,5.13,26882.65179,946943.0362,2562.95,
118,73923.46627,7.005505785,7.135063347,6.04,58745.31203,1819900.637,2497.27,
119,79737.60976,7.315957927,6.611096005,2.17,28307.31433,1463130.273,2313.88,
120,63890.47157,4.972306568,7.916386397,5.49,43416.49782,1252391.18,2770.74,
121,67310.03695,7.193792989,7.760732555,5.28,43310.61243,1714445.175,2716.26,
122,73145.73022,4.096517243,7.254217433,3.18,49463.37888,1291759.393,2538.98,
123,86924.35877,6.832939699,7.738295553,6.32,28719.41089,1809154.289,2708.40,
124,74384.10563,7.411486571,5.164865476,2.3,17117.44367,1200539.361,1807.70,
125,67477.78818,6.623528293,7.91617166,5.1,29763.92535,1300265.21,2770.66,
126,71202.95692,4.318869133,6.634954066,4.37,34207.39721,997448.7281,2322.23,
127,85845.3178,6.743652961,9.468766369,3.46,46477.67868,2152959.409,3314.07,
128,72138.87048,7.163640935,8.485778263,5.45,35799.63827,1629983.847,2970.02,
129,44806.00516,4.494570528,4.725325117,3.1,57390.89007,497579.4466,1653.86,
130,67504.17846,5.329798509,5.894411949,4.36,37441.12054,890112.5493,2063.04,
131,74706.10053,5.003327764,5.661064127,2.05,39680.60932,1064685.699,1981.37,
132,68898.34591,6.787648529,7.871352644,6.39,39515.57156,1530124.016,2754.97,
133,58118.01816,8.137214471,5.650900286,4.36,35598.39044,1246246.828,1977.82,
134,77643.28309,6.070115922,5.381038359,4.45,35512.25505,1240754.932,1883.36,
135,67769.82559,8.074693668,6.761631408,4.22,33254.60341,1760734.69,2366.57,
136,74411.05989,5.534627544,7.210123361,6.44,43537.50295,1393746.76,2523.54,
137,73101.0788,4.104129923,8.920333221,4.35,29497.97129,1172385.898,3122.12,
138,58708.41716,5.083861036,6.262825884,4.07,15969.92604,483986.109,2191.99,
139,63876.05991,7.080219326,7.187773835,3.37,38052.87644,1388530.157,2515.72,
140,68343.15409,6.39244379,8.425112895,6.2,40653.87007,1721739.384,2948.79,
141,73064.97996,5.994062799,7.204368895,6.19,30699.33971,1276448.792,2521.53,
142,67367.26808,6.774710809,6.690894899,2.49,32547.27253,1161742.677,2341.81,
143,66547.18175,6.350672042,5.305000412,2.04,16741.96499,786407.9451,1856.75,
144,73313.54538,6.414723236,8.492901229,4.46,37808.99667,1604920.973,2972.52,
145,47681.36173,6.890508224,7.788267986,5.13,50908.97891,1230149.137,2725.89,
146,67910.94913,6.445851907,6.675937268,4.32,31379.78297,1051644.554,2336.34,
147,69277.89125,6.142591681,7.811724471,5.15,43717.91309,1415073.614,2734.10,
148,67946.71468,5.403175673,5.671136343,3.21,35197.94257,1043483.915,1984.90,
149,90975.11327,4.740683035,8.320351986,6.45,44426.21365,1544379.748,2912.12,
150,61885.54644,5.405265969,6.91419577,3.22,48726.9513,1352135.967,2420.97,
151,69401.84722,7.042354995,8.097044285,3.44,29293.07405,1505727.431,2834.17,
152,72969.12127,6.188575726,8.076943604,4.2,31755.72136,1416965.979,2826.93,
153,75582.45976,5.506473429,6.774986419,4.33,31946.30387,1046721.976,2371.25,
154,56241.22677,5.623087016,6.818670754,2.18,32745.36812,939040.0036,2386.53,
155,79412.83547,6.087360169,7.481321112,3.26,17568.73376,1383031.332,2618.46,
156,79618.23685,4.566166101,6.669888411,3.49,29636.50711,1072503.238,2334.46,
157,67019.07405,6.487943167,7.3313301,6.26,24997.10871,1134397.758,2565.97,
158,56063.48087,5.10693512,5.385339778,4.14,39129.2967,734827.508,1884.87,
159,57077.5803,5.775467041,6.952026674,4.27,33393.9166,991892.3175,2433.21,
160,75954.81825,4.289916281,7.418750603,5.04,34467.7587,1057252.583,2596.56,
161,52575.81517,7.133719417,7.173698882,4.06,41828.57962,1237224.859,2510.79,
162,63312.80567,6.139115452,8.199615241,4.41,43230.35216,1442632.541,2869.87,
163,82526.9621,6.453073406,7.748248953,4.46,43947.68026,1877402.32,2711.89,
164,73204.94213,6.640915863,7.311912321,6.4,35090.50081,1394518.415,2559.17,
165,56357.19314,5.707903109,5.240300887,3.25,38061.9983,953939.3299,1834.11,
166,71316.62465,7.107767687,7.088992691,5.33,21651.69941,1219778.034,2481.15,
167,75046.8482,4.983084629,8.877240042,3,32468.03115,1287325.382,3107.03,
168,84474.16006,6.970854746,5.935909326,2.47,38677.81515,1739893.555,2077.57,
169,68162.68393,6.962206716,6.69735801,3.07,31843.87634,1213382.223,2344.08,
170,62784.33295,7.572350215,4.652717554,3.31,35122.38947,1007478.748,1628.26,
171,67009.81567,6.849769937,7.610720856,3.22,39737.12261,1528756.126,2663.75,
172,67437.25036,6.767363237,6.703917223,2.05,29356.22337,1182459.772,2346.37,
173,65967.76931,6.847724976,7.777279444,3.14,35799.96255,1474546.762,2722.05,
174,42816.30589,7.603999923,7.04524851,4.18,47457.66221,1078016.94,2465.84,
175,83347.6697,5.468158427,5.475252653,3.14,48226.71893,1453381.624,1916.34,
176,81699.88,5.47980183,6.476007341,4.41,39527.04856,1495012.965,2266.60,
177,56143.78866,4.580122446,6.668979774,4.04,45084.03666,714148.4148,2334.14,
178,59513.83492,4.885131771,5.57471435,3.18,44162.27921,894292.0474,1951.15,
179,78379.41224,5.985697151,5.681833507,3.2,31357.38821,1159841.831,1988.64,
180,70877.37574,6.766877154,7.213659075,5.07,36033.42685,1195986.299,2524.78,
181,61526.97445,6.593962539,9.180401429,6.11,27307.94803,1381430.63,3213.14,
182,65316.99602,7.414875231,6.733084867,2,55799.49748,1534889.853,2356.58,
183,76268.81833,6.942797867,6.147907596,3.17,38649.85239,1494125.33,2151.77,
184,48531.36423,6.863184039,8.517401059,5.3,39731.15056,1356146.261,2981.09,
185,82906.6548,5.901451656,5.767366136,4.26,38820.48194,1454943.074,2018.58,
186,63117.84405,4.940396705,5.636779395,2.31,43091.84514,774118.1878,1972.87,
187,75860.86115,3.69089057,4.788550207,3.48,41003.88008,889113.2389,1675.99,
188,68844.76425,4.860453,6.916808181,3.29,48392.49736,1211102.211,2420.88,
189,52446.26686,5.694610808,7.429639244,3.11,32934.5532,658646.1847,2600.37,
190,69342.70684,5.804686752,7.805903702,3.36,37082.37422,1400104.871,2732.07,
191,55932.05268,7.218309145,6.020201205,4,42488.31,1262017.792,2107.07,
192,53306.92214,4.632267718,6.194794325,2.15,39063.33871,553077.2126,2168.18,
193,56976.5464,6.061212241,7.259286709,3.08,46375.50249,1203247.89,2540.75,
194,51296.48863,6.155259764,7.831766476,6.18,32078.9068,1115323.015,2741.12,
195,63995.00489,7.59753322,7.090050637,5.25,24748.26827,1301881.417,2481.52,
196,71915.14669,6.279753854,5.521216371,4.47,27714.29366,1006687.387,1932.43,
197,62137.59721,5.440725595,7.235191288,5.21,19045.61951,749383.0726,2532.32,
198,78050.96983,5.234044768,6.290305888,4.15,27789.74852,1075596.587,2201.61,
199,67371.42086,5.333820712,6.624951289,4.37,24797.76476,739870.7936,2318.73,
200,59362.76638,7.482630242,8.003006746,3.49,44723.35373,1442945.145,2801.05,
201,57003.10964,7.01058346,6.356258719,3.14,29594.69337,828497.0671,2224.69,
202,68989.31221,6.075426018,7.879588245,6.37,32629.60383,1373290.861,2757.86,
203,70969.9021,4.901817799,6.396268006,3.18,24833.64615,925566.3313,2238.69,
204,82251.65301,7.741091334,7.636653827,6.49,18408.79864,1552536.764,2672.83,
205,71306.4573,5.773717163,6.68823017,2.04,43284.39716,1335904.501,2340.88,
206,70921.56857,5.665185385,6.375371505,3.28,29390.21727,960808.2911,2231.38,
207,70739.4601,6.710699576,7.166501646,6.28,35148.66775,1405933.019,2508.33,
208,58097.84182,6.386347996,6.144038119,3.04,19903.00008,619087.6936,2150.41,
209,51273.50885,7.032317226,6.888205629,2.09,53811.89491,1329273.228,2410.87,
210,76326.59232,5.02469487,4.936329009,3.44,42779.8313,1261843.844,1727.72,
211,63584.04588,5.832827571,6.029160867,4.29,46340.18858,1175781.418,2110.21,
212,86340.28729,4.930051,6.183440077,3.01,35630.56045,1437053.557,2164.20,
213,79471.23882,5.867269778,8.197289421,6.21,36616.16883,1594415.226,2869.05,
214,55879.50379,6.407946258,5.370386614,2.07,37360.06356,931357.9954,1879.64,
215,40503.54133,6.881778623,6.566175293,3.14,45979.47754,798639.6542,2298.16,
216,83394.40783,5.601486668,5.905024344,2.08,30487.52462,1451739.625,2066.76,
217,64501.22645,6.001641691,7.293476754,5.33,43869.30998,1278991.689,2552.72,
218,59569.53734,6.279536891,7.325379539,4.24,31294.65246,885920.5532,2563.88,
219,69280.31627,6.861548028,6.923618932,4.33,40290.91149,1425632.542,2423.27,
220,66342.48968,5.857266082,6.94910892,3.06,11792.81516,901881.7427,2432.19,
221,73367.04599,6.173290661,9.054709888,5.25,23684.78795,1521730.791,3169.15,
222,57122.22484,5.70765003,5.929733805,2.4,41972.77154,716771.0057,2075.41,
223,61978.84805,7.912276047,8.437966416,5.37,56957.18775,1696717.367,2953.29,
224,54299.96882,6.635899749,6.851535828,2.49,39512.66371,819598.0078,2398.04,
225,71424.40601,5.59893322,8.522538378,3.49,37242.56159,1584213.957,2982.89,
226,57353.15436,8.07544792,5.678555483,4.44,16906.42172,798892.515,1987.49,
227,44731.1098,4.188658329,8.942797164,5.12,39633.47304,601973.0017,3129.98,
228,76175.49393,4.524140652,9.524973612,4.28,30760.99496,1456486.293,3333.74,
229,66574.70999,5.550264729,6.844150153,2.17,69575.44946,1702406.039,2395.45,
230,91731.15438,5.184810712,7.94387972,6.3,33102.09542,1566471.008,2780.36,
231,75487.0326,6.453931678,7.737095684,4.02,41105.39063,1592210.176,2708.98,
232,58088.43813,6.017831001,5.790005274,4.21,51925.41161,937628.3467,2026.50,
233,76319.2186,6.873130198,6.294054951,3.45,48026.30837,1558547.578,2202.92,
234,60575.16244,5.907565592,6.964616002,2.29,32158.9679,1156329.274,2437.41,
235,69607.13367,7.077680826,7.833081192,3.35,34609.04022,1514349.692,2741.58,
236,67056.84048,5.222168522,7.163517523,5.25,25134.68148,1039107.326,2507.23,
237,60640.93188,5.165921529,5.355113624,2.32,43119.54066,809089.6719,1874.29,
238,69031.90888,5.779976246,5.501755138,3.23,15660.40301,675536.3915,1925.20,
239,80356.20939,4.660417824,9.710216896,5.02,16215.41728,1373589.804,3398.58,
240,60081.17662,6.768523696,8.204552838,4.3,60195.74627,1690091.019,2871.59,
241,61881.47931,6.519463053,7.114083652,5.38,35597.37289,1253370.149,2490.00,
242,59590.96529,6.891731041,5.736029404,2.03,24153.88252,774073.5619,2007.61,
243,89831.31929,5.20196372,7.719652764,6.37,45335.36028,1741959.834,2701.88,
244,72175.2835,7.421738946,6.828247305,2.09,50305.79541,1705762.788,2389.89,
245,67589.04884,6.21484263,6.060884656,2.34,33203.38392,1071109.917,2121.31,
246,77300.03144,5.260974726,6.936548024,4.49,29499.04095,1118047.991,2427.79,
247,65382.88832,5.39681918,7.648386114,6.08,41723.05474,1165253.033,2676.94,
248,71145.2127,6.152109975,6.765832563,2.31,35642.53034,1280910.19,2368.04,
249,61053.038,5.787890692,5.687062576,2.02,40675.77383,841122.8824,1990.47,
250,65125.94787,5.928483443,7.057757992,4.19,37642.78527,1228810.745,2470.22,
251,51949.2957,6.209803037,8.051118256,5.28,35336.06305,1086072.071,2817.89,
252,75897.98884,5.316933287,6.768229399,3.33,34162.67061,1204372.295,2368.88,
253,71468.3505,6.158043453,6.361238405,3.35,43269.03337,1345004.12,2226.43,
254,53287.99207,5.755609227,7.162322376,3.32,45152.01427,1116902.345,2506.81,
255,61503.0406,5.13081313,7.015317326,3.12,37650.86971,822431.7303,2455.36,
256,68896.04856,6.38632518,8.365074594,4.47,28394.60978,1360623.694,2927.88,
257,91159.41833,6.536045428,7.373850919,3.01,54861.0911,2298379.487,2580.85,
258,63375.34848,6.67234006,7.883780977,3.41,45633.19224,1400498.268,2759.32,
259,59695.57147,5.44538285,6.032795265,2.04,20702.80267,566848.7321,2111.48,
260,63183.88974,5.570561937,7.541807496,5.08,58691.20066,1367586.278,2639.63,
261,61177.80813,6.998928282,7.088385883,5.13,26396.29111,1113373.52,2480.93,
262,58642.31122,5.209923093,6.275371125,3.42,35131.57815,721974.5515,2196.38,
263,53112.27806,5.138651815,6.325363471,4.25,40367.38387,685503.9903,2213.88,
264,40366.61629,4.902939589,7.6171181,5.07,16349.36539,152071.8747,2665.99,
265,62207.47581,7.297532823,7.002864274,5.38,34317.53831,1280431.574,2451.00,
266,57477.95076,5.405444821,7.207172822,6.35,23649.96887,568703.1838,2522.51,
267,55630.48896,6.283122836,8.933119985,6,38943.09599,1200764.844,3126.59,
268,72399.30556,6.740676312,7.552269769,6.15,41662.00007,1607161.637,2643.29,
269,89868.89193,4.504274579,7.234261404,5.45,30101.72457,1421715.415,2531.99,
270,59801.49103,4.210462758,4.954387464,2.03,33534.9264,311111.2006,1734.04,
271,61957.1543,7.841080502,7.472966963,4.19,38448.49148,1338044.383,2615.54,
272,71123.43282,6.685810937,6.16923837,3.43,44020.1441,1417870.983,2159.23,
273,55202.70547,4.375933244,8.259044318,3.4,28424.95165,796389.4383,2890.67,
274,79298.12201,7.188208135,5.336841156,3.44,15753.26664,1310207.133,1867.89,
275,65070.56701,7.143558507,5.579766055,4.3,24852.56515,994897.7278,1952.92,
276,68494.98255,7.230364893,7.265462684,5.46,13998.57121,1202987.829,2542.91,
277,55702.20538,5.551957132,5.648555397,3.08,40087.79561,768751.9005,1976.99,
278,57233.60849,7.893834161,6.036621215,2.27,37374.91924,1211655.305,2112.82,
279,85313.88545,6.033157792,6.633757595,4.21,23974.43557,1540418.222,2321.82,
280,60224.65171,4.675940133,5.428846667,3.23,42182.86211,712228.4243,1900.10,
281,73873.81919,6.789870886,6.630909086,3.17,33336.32735,1525533.407,2320.82,
282,63149.48523,7.156294433,5.518835024,2.04,37578.84687,1034218.402,1931.59,
283,58593.79404,4.662980906,6.333616932,2.04,39287.5279,874103.6606,2216.77,
284,73839.87242,6.446181952,8.274063584,4.19,47602.51021,1912825.285,2895.92,
285,75984.83111,6.725721311,7.887775836,4.31,42248.68586,1754770.59,2760.72,
286,82145.36942,6.54096795,6.876150329,4.23,25736.09605,1340066.913,2406.65,
287,69017.1828,5.777106148,5.783612779,3.11,55830.75284,1446756.863,2024.26,
288,75429.17898,6.818759161,7.570447111,5.48,36769.24968,1592768.242,2649.66,
289,69513.53892,4.122901533,7.641107312,6.08,14054.05343,660364.9813,2674.39,
290,57782.41708,5.159300978,6.332626733,2.46,33426.84938,861321.5807,2216.42,
291,74372.13845,6.56237959,8.184510518,6.35,34321.96015,1648246.774,2864.58,
292,63522.12193,5.538042849,6.952195766,2.04,31995.52529,977135.8857,2433.26,
293,61193.71483,7.647150882,9.086807717,3.21,33196.05984,1591934.19,3180.38,
294,60316.79073,4.308730208,5.564352875,4.12,33831.89363,695386.331,1947.52,
295,58469.9122,5.408899965,4.807387458,2.26,33547.98482,568977.0728,1682.59,
296,75179.90299,4.595920956,7.201635799,5.13,23978.0933,935590.8043,2520.57,
297,56186.96329,3.992027946,8.960742515,5.2,41855.65474,984311.7745,3136.26,
298,73225.0663,5.933498536,6.868603895,2.3,61830.53972,1796245.808,2404.01,
299,74338.92771,5.084714868,5.186852796,4.07,18057.17178,720080.2321,1815.40,
300,52188.11873,5.636892091,5.807401479,4.03,42495.75468,783808.4025,2032.59,
